"cy_id","PC1","PC2"
"2015_1_1",5.52197019463005,8.62501687729575
"2016_1_1",1.03101229572558,-1.76746019170601
"2017_1_1",45.4901126575209,0.868306525878349
"2018_1_1",48.2764161359097,-18.0441968716262
"2019_1_1",25.0168212783732,5.76718104080876
"2020_1_1",10.4975244168555,-4.34101190635804
"2021_1_1",20.5581050405057,1.74522953276781
"2022_1_1",11.3269782458333,1.45919694621362
"2023_1_1",1.08176625108725,-9.62294967119487
"2024_1_1",-4.27479409250363,7.60089203647776
"2025_1_1",1.93345007511091,2.57670390850111
"2026_1_1",2.81745905233647,-12.2733047431109
"2027_1_1",24.6216828363533,-2.77834596349362
"2028_1_1",14.1592147769691,-18.8874703801051
"2029_1_1",-2.09613201987999,0.732013650787291
"2030_1_1",6.68552161143299,11.6244855008872
"2031_1_1",13.1909376385002,11.6627267272864
"2032_1_1",2.52228528773127,3.34857016831027
"2033_1_1",5.36204884021641,3.65575812552111
"2034_1_1",42.1392469858704,-8.04187770431828
"2035_1_1",25.9664745200381,-9.06243987508344
"2036_1_1",9.10750764940565,1.91312435854583
"2037_1_1",19.4688266998963,-7.60030068191064
"2038_1_1",20.210401780678,-14.6395349441069
"2039_1_1",-0.742562514509508,7.25988036319215
"2040_1_1",18.4588788949984,0.793809899123313
"2041_1_1",-19.1761983995168,0.291373942818157
"2042_1_1",-25.882150981188,-3.24624270109358
"2043_1_1",-11.5022868396544,1.83249475602824
"2044_1_1",16.7420740078749,-15.7373472497609
"2045_1_1",9.68471867955577,16.9407792939596
"2046_1_1",36.6145973188128,4.17904116876834
"2047_1_1",6.97140422790342,8.80808806068056
"2048_1_1",-50.2788762690389,-1.64046571994881
"2049_1_1",-11.5421349467818,-4.57276984057947
"2050_1_1",-9.37990045075302,1.33093699707376
"2051_1_1",2.21253014438246,12.5399765655505
"2052_1_1",-37.5257441921716,-1.67855093280131
"2053_1_1",16.2818885643954,1.27281348061472
"2054_1_1",-32.5271812436611,-14.6585563487601
"2055_1_1",-5.92710822854758,8.8308586731056
"2056_1_1",6.13202227044015,-9.76935260708972
"2057_1_1",-30.256241555603,-2.31842593631974
"2058_1_1",-11.7077162064248,3.23186975433505
"2059_1_1",-6.60552111901479,3.11141796877326
"2060_1_1",-6.3379449690165,0.271406458608608
"2061_1_1",4.92079825787533,7.89367894373797
"2062_1_1",28.0432051448884,17.4758848586655
"2063_1_1",10.5137528917387,2.08564860751899
"2064_1_1",-19.1178402065894,0.318071811689274
"2065_1_1",-7.6606939120244,-1.30655561412759
"2066_1_1",33.1662170551299,-3.29471228962883
"2067_1_1",-12.9141112246654,1.69422603677
"2068_1_1",13.161446707354,-9.00854015960999
"2069_1_1",-4.98376933127667,-5.99929698912295
"2070_1_1",1.94154213366015,-3.80700335711325
"2071_1_1",-4.51901121313339,-3.8057838061007
"2072_1_1",15.6528067152941,0.482636514203741
"2073_1_1",-0.515735866569977,18.6996258698932
"2074_1_1",-0.327836591521161,-3.34888209741695
"2075_1_1",29.8392663226475,-5.81140487295358
"2076_1_1",-31.576310359867,-3.87682374327545
"2077_1_1",6.07077326568637,-9.79048248986924
"2078_1_1",-46.5384839516049,3.03755227218919
"2079_1_1",-5.76081216067258,7.41127755472676
"2080_1_1",27.1362447233055,6.73701070115597
"2081_1_1",13.8766979462995,4.59133611405585
"2082_1_1",-10.8819180172754,15.4275479360327
"2083_1_1",31.7825558701276,9.36109321662557
"2084_1_1",2.89162371866476,-5.82780065448673
"2085_1_1",-8.52085504702028,0.7553140357515
"2086_1_1",-50.2050513190557,-3.05801229465149
"2087_1_1",-33.3521074194341,-7.65075182829276
"2088_1_1",-27.2739633680443,2.97772169189561
"2089_1_1",-0.572353943949196,5.86564764290676
"2090_1_1",-5.08194948603244,1.81680106958423
"2091_1_1",-0.737694465409716,7.27593690608511
"2092_1_1",-26.9472595336153,0.18148013242943
"2093_1_1",-18.2873686802985,-1.74389761997323
"2094_1_1",-19.5718731702033,-3.31424281473328
"2095_1_1",-19.6653906410614,-14.6843597640775
"2096_1_1",-29.5820115748962,-9.37634657729821
"2097_1_1",-24.1904679090451,6.88324166606249
"2098_1_1",7.64577213749835,-4.64162371885035
"2099_1_1",-22.1792178479827,7.78143859705746
